item_id,denumire,total_valoare,cantitate,pret_unitar,moneda,validare,,,,observatii
MED-0685,"Tobrom pic. oft., sol. 3 mg/ml 5 ml N1",12.45,1.0,12.45,MDL,OK,,,,
MED-0686,Tomohexol sol.inj 350mg/ml100 ml N1,19753.64,60.0,329.2273,MDL,OK,,,,
MED-0687,Torasemid comp.10mg N30,2401.16,4140.0,0.58,MDL,OK,,,,
MED-0688,Torasemid comp.5mg N30,486.43,1250.0,0.3891,MDL,OK,,,,
MED-0689,Torsid comp.10mg N30,72.9,150.0,0.486,MDL,OK,,,,
MED-0690,Torsid sol.inj.5mg/ml 4ml N5,132.3,10.0,13.23,MDL,OK,,,,
MED-0691,Tramadol 5%2ml sol.inj N10,5546.0,2920.0,1.8993,MDL,OK,,,,
MED-0692,Tramadol caps.50mg N20,60.03,100.0,0.6003,MDL,OK,,,,
MED-0693,Tramadol sol. inj.100mg/2 ml N5,1660.71,940.0,1.7667,MDL,OK,,,,
MED-0694,Transec sol.inj.500mg/5ml N5,2286.57,335.0,6.8256,MDL,OK,,,,
MED-0695,Tricortin 1000sol.inj 12mg+1mg/2ml N5,948.56,20.0,47.428,MDL,OK,,,,
MED-0696,Trimetazidin comp.35mg N60,112.52,120.0,0.9377,MDL,OK,,,,
MED-0697,Trisol sol.perf.400ml N1,6113.32,384.0,15.9201,MDL,OK,,,,
MED-0698,Trombex comp. film. 75 mg N30,95.94,150.0,0.6396,MDL,OK,,,,
MED-0699,"Tropicamida pic. oft., sol. 0,5% 10 ml N1",264.6,15.0,17.64,MDL,OK,,,,
MED-0700,"Tropicamida pic. oft., sol. 1% 10 ml N1",99.72,4.0,24.93,MDL,OK,,,,
MED-0701,Tub conector la tubul de intubare Mount N1,1134.0,100.0,11.34,MDL,OK,,,,
MED-0702,Tylol 120mg/5ml 100ml susp.orala N1,225.1,14.0,16.0786,MDL,OK,,,,
MED-0703,Tylol Hot 20g N12 plic,433.05,72.0,6.0146,MDL,OK,,,,
MED-0704,Unguent cu hidrocortisona ung. 1% 20 g N1,280.26,15.0,18.684,MDL,OK,,,,
MED-0705,Urfocin 3g gran/oral sol.N1,632.52,15.0,42.168,MDL,OK,,,,
MED-0706,Urfocin 3g gran/oral.sol N1,632.52,15.0,42.168,MDL,OK,,,,
MED-0707,Utrogestan caps 100 mg N30,678.09,180.0,3.7672,MDL,OK,,,,
MED-0708,Valeriana tinctura 25 ml N1,317.84,20.0,15.892,MDL,OK,,,,
MED-0709,Valfen caps. N30,73.96,60.0,1.2327,MDL,OK,,,,
MED-0710,Valsartan comp. 160mg N30,594.0,450.0,1.32,MDL,OK,,,,
MED-0711,Vancomicin 1000mg.sol.inj N 1,10964.79,104.0,105.4307,MDL,OK,,,,
MED-0712,Vancomicin 1000mg.sol.inj N1,3287.25,30.0,109.575,MDL,OK,,,,
MED-0713,Vancomicin HCI 500mg N 1,295.92,20.0,14.796,MDL,OK,,,,
MED-0714,Vancomicina HCI 500mg N10,3654.72,180.0,20.304,MDL,OK,,,,
MED-0715,Vata hidrofila p/u uz medicinal 250 gr N1 *,7916.47,484.0,16.3563,MDL,OK,,,,
MED-0716,Venlaxor comp.75 mg N30,759.94,240.0,3.1664,MDL,OK,,,,
MED-0717,Verapamil clorhidrat comp. film. 80 mg N10x5,32.94,50.0,0.6588,MDL,OK,,,,
MED-0718,Verapamil comp. film. 80 mg N50 *,166.1,250.0,0.6644,MDL,OK,,,,
MED-0719,"Verapamil sol.inj.0,25.2ml 10",299.7,170.0,1.7629,MDL,OK,,,,
MED-0720,Vermigal susp.orala 400mgN1,190.51,10.0,19.051,MDL,OK,,,,
MED-0721,Vicasol sol.inj.10mg/ml 1mlN10,731.82,280.0,2.6136,MDL,OK,,,,
MED-0722,Viferon 150000 sup.N10,291.6,60.0,4.86,MDL,OK,,,,
MED-0723,Vincamin-BP sol.inj. 7.5mg/ml 2ml N5x2,13227.0,600.0,22.045,MDL,OK,,,,
MED-0724,Vinpocetina  sol. inj.5mg/ml 2ml N10,5455.81,3150.0,1.732,MDL,OK,,,,
MED-0725,Vinpocetina  sol. inj.5mg/ml 5ml N10,47269.6,4090.0,11.5574,MDL,OK,,,,
MED-0726,Viprosal B ung.50gr.N1,154.69,2.0,77.345,MDL,OK,,,,
MED-0727,Visipaque sol.inj.320mg.100ml N10,46406.85,90.0,515.6317,MDL,OK,,,,
MED-0728,Vita-melatonina comp.3mg N30,698.45,290.0,2.4084,MDL,OK,,,,
MED-0729,Vitamina B6 sol.inj 50mg/1ml N10,7232.52,4980.0,1.4523,MDL,OK,,,,
MED-0730,Vitamina D3 pic.orale 0.45mg/ml10mlN1,26.15,1.0,26.15,MDL,OK,,,,
MED-0731,Vitaxon sol.inj 2mlN5,7410.46,2650.0,2.7964,MDL,OK,,,,
MED-0732,"ViziDol pic. oft.,sol.0.5% 5ml",200.82,3.0,66.94,MDL,OK,,,,
MED-0733,Warfarex comp.3 mg N100 *,72.36,100.0,0.7236,MDL,OK,,,,
MED-0734,Wishnevsky liniment 40 g N1,2688.37,76.0,35.3733,MDL,OK,,,,
MED-0735,Xefocam comp.8mg N10,156.08,40.0,3.902,MDL,OK,,,,
MED-0736,Zenofor 1000mg N60,25.27,60.0,0.4212,MDL,OK,,,,
MED-0737,"Zibor 2500 sol. inj. ser. preump. 2500 UI/0,2 ml 0,2 ml N10",29022.42,740.0,39.2195,MDL,OK,,,,
MED-0738,"Zibor 3500 sol. inj. ser. preump. 3500 UI/0,2 ml 0,2 ml N10",7845.15,120.0,65.3762,MDL,OK,,,,
MED-0739,Zinc oxid ung.10% 25g,321.04,11.0,29.1855,MDL,OK,,,,
MED-0740,Zinnat gran/susp.orala 125mg/5ml 100ml N1,448.5,2.0,224.25,MDL,OK,,,,
